Bonds,忖H*,Comments
H每H,104.2,
C每C,83,
N每N,38.4,
O每O,35,
F每F,36.6,
Si每Si,52,
P每P,51,
S每S,54,
Cl每Cl,58,
Br每Br,46,
I每I,36,
H每C,99,
H每N,93,
H每O,111,
H每F,135,
H每Cl,103,
H每Br,87.5,
H每I,71,
H每B,90,
H每S,81,
H每Si,70,
H每P,77,
B每F,154,
B每O,123,
C每N,73,
N每CO,86,
C每O,85.5,
O每CO,110,
C每S,65,
C每F,116,
C每Cl,81,
C每Br,68,
C每I,51,
C每B,94,
C每Si,83,
C每P,73,
N每O,55,
S每O,87,
Si每F,132,
Si每Cl,86,
Si每O,110,
P每Cl,79,
P每Br,65,
P每O,96,
C=C,146,
N=N,109,
O=O,119,
C=N,147,
C=O,192,(CO2)
C=O,177,(aldehyde)
C=O,178,(ketone)
C=O,179,(ester)
C=O,179,(amide)
C=O,177,(halide)
C=S,138,(CS2)
N=O,143,(HONO2)
P=O,110,(POCl3)
P=S,70,(PSCl3)
S=O,128,(SO2)
S=O,93,(DMSO)
P=P,84,
P√P,117,
C√O,258,
C√C,200,
N√N,226,
C√N,213,
